Time (s),Torque (Nm),X Accel (m/s2),Y Accel (m/s2),Z Accel (m/s2),CNT 1/Angle (Degrees),CNT 1/Frequency (RPM)
8.21723000,-0.0342619381844997,-0.163846343755722,-0.141498059034348,0.0185778960585594,4982.34375,0
8.21724000,-0.0342619381844997,-0.0409615859389305,0.0769749507308006,0.026227617636323,4982.34375,0
8.21725000,-0.0342619381844997,-0.0575676374137402,0.0464113652706146,-0.0305988863110542,4982.34375,0
8.21726000,-0.0342619381844997,-0.0686383321881294,0.0599951781332493,-0.140973448753357,4982.34375,0
8.21727000,-0.0342619381844997,0.0199272595345974,-0.147157981991768,-0.0819613039493561,4982.34375,0
8.21728000,-0.0342619381844997,-0.0210343282669783,0.0724470093846321,-0.014206625521183,4982.34375,0
8.21729000,-0.0342619381844997,0.014391909353435,0.0271676275879145,0.0852397531270981,4982.34375,0
8.21730000,-0.0342619381844997,0.0376403778791428,0.0452793799340725,-0.110374554991722,4982.34375,0
8.21731000,-0.0342619381844997,-0.0719595476984978,0.0792389139533043,0.103817649185658,4982.34375,0
8.21732000,-0.0342619381844997,0.179345324635506,-0.107538528740406,0.0305988863110542,4982.34375,0
8.21733000,-0.0342619381844997,0.0564605668187141,0.069051057100296,-0.0382486097514629,4982.34375,0
8.21734000,-0.0342619381844997,-0.0442827977240086,0.0294315982609987,0.0273204352706671,4982.34375,0
8.21735000,-0.0342619381844997,0.109599925577641,-0.0939547121524811,-0.0601049549877644,4982.34375,0
8.21736000,-0.0342619381844997,0.0287838187068701,-0.00679190689697862,-0.128952443599701,4982.34375,0
8.21737000,-0.0342619381844997,0.0121777690947056,0.0747109800577164,-0.0469911471009254,4982.34375,0
8.21738000,-0.0342619381844997,-0.0287838187068701,0.0316955670714378,0.0437126941978931,4982.34375,0
8.21739000,-0.0342619381844997,0.0597817748785019,0.192437365651131,0.0273204352706671,4982.34375,0
8.21740000,-0.0342619381844997,-0.116242341697216,-0.0135838137939572,-0.0338773392140865,4982.34375,0
8.21741000,-0.0342619381844997,-0.0520322881639004,0.0486753359436989,0.0218563470989466,4982.34375,0
8.21742000,-0.0342619381844997,0.0199272595345974,-0.0215077064931393,0.00437126960605383,4982.34375,0
8.21743000,-0.0342619381844997,0.0221413988620043,0.0350915193557739,0.128952443599701,4982.34375,0
8.21744000,-0.0342619381844997,-0.0763878226280212,-0.018111752346158,0.00546408677473664,4982.34375,0
8.21745000,-0.0342619381844997,0.0154989790171385,0.169797673821449,-0.157365694642067,4982.34375,0
8.21746000,-0.0342619381844997,0.110706992447376,-0.0294315982609987,-0.168293878436089,4982.34375,0
8.21747000,-0.0342619381844997,-0.0553534962236881,0.0645231157541275,-0.0633834078907967,4982.34375,0
8.21748000,-0.0342619381844997,0.0520322881639004,-0.0645231157541275,-0.0382486097514629,4982.34375,0
8.21749000,-0.0342619381844997,0.104064576327801,0.00113198452163488,0.116931460797787,4982.34375,0
8.21750000,-0.0338924713432789,0.0298908874392509,-0.0475433506071568,-0.0491767823696136,4982.34375,0
8.21751000,-0.0338924713432789,-0.0188201889395714,0.0316955670714378,-0.0939822942018509,4982.34375,0
8.21752000,-0.0338924713432789,-0.157203927636147,-0.0192437376827002,-0.159551337361336,4982.34375,0
8.21753000,-0.0338924713432789,-0.0741736814379692,0.0418834276497364,-0.0852397531270981,4982.34375,0
8.21754000,-0.0338924713432789,0.0287838187068701,-0.224132940173149,0.00764972157776356,4982.34375,0
8.21755000,-0.0338924713432789,0,-0.0735789909958839,-0.0491767823696136,4982.34375,0
8.21756000,-0.0338924713432789,0.0730666145682335,-0.0339595340192318,-0.0677546784281731,4982.34375,0
8.21757000,-0.0338924713432789,-0.0431757271289825,-0.0701830387115479,-0.168293878436089,4982.34375,0
8.21758000,-0.0338924713432789,0.160525143146515,0.0577312111854553,-0.0786828473210335,4982.34375,0
8.21759000,-0.0338924713432789,0.0442827977240086,0.0430154129862785,-0.0601049549877644,4982.34375,0
8.21760000,-0.0338924713432789,0.0121777690947056,-0.0792389139533043,-0.118024274706841,4982.34375,0
8.21761000,-0.0338924713432789,-0.032105028629303,0.0158477835357189,-0.0601049549877644,4982.34375,0
8.21762000,-0.0338924713432789,0.126205965876579,-0.090558759868145,-0.24916236102581,4982.34375,0
8.21763000,-0.0338924713432789,-0.0808161050081253,-0.17545759677887,-0.0349701568484306,4982.34375,0
8.21764000,-0.0338924713432789,-0.0188201889395714,-0.17545759677887,-0.111467368900776,4982.34375,0
8.21765000,-0.0338924713432789,-0.0398545190691948,-0.0735789909958839,-0.0207635294646025,4982.34375,0
8.21766000,-0.0338924713432789,-0.013284838758409,0.0271676275879145,0.0546408705413342,4982.34375,0
8.21767000,-0.0338924713432789,-0.032105028629303,0.0260356441140175,-0.110374554991722,4982.34375,0
8.21768000,-0.0338924713432789,0.00442827958613634,-0.090558759868145,-0.0360629744827747,4982.34375,0
8.21769000,-0.0338924713432789,-0.0996362939476967,0.0316955670714378,0.134416535496712,4982.34375,0
8.21770000,-0.0338924713432789,0.0708524733781815,-0.0135838137939572,-0.111467368900776,4982.34375,0
8.21771000,-0.0338924713432789,-0.0952080115675926,-0.122254326939583,-0.197799950838089,4982.34375,0
8.21772000,-0.0338924713432789,0.109599925577641,-0.0282996129244566,-0.0174850784242153,4982.34375,0
8.21773000,-0.0338924713432789,0.0376403778791428,-0.0169797670096159,-0.0491767823696136,4982.34375,0
